# [Setup]
# logfile: auto
# gpib_num: 18
# [Experiment]
# start_freq: 10
# stop_freq: 100000
# points: 400
# linear_type: false
##########
# Comment: Optimised PID settings for "almost" locking
##########
# Frequency (Hz), LogMagnitude (dB), Phase (deg)
1.5239e+02,-4.9711e+01,-6.7397e+01
1.5595e+02,-4.9903e+01,-6.6840e+01
1.5959e+02,-5.0145e+01,-6.6216e+01
1.6332e+02,-5.0286e+01,-6.5670e+01
1.6713e+02,-5.0522e+01,-6.5138e+01
1.7103e+02,-5.0759e+01,-6.4360e+01
1.7503e+02,-5.0927e+01,-6.3108e+01
1.7912e+02,-5.1196e+01,-6.2773e+01
1.8330e+02,-5.1343e+01,-6.1501e+01
1.8758e+02,-5.1553e+01,-6.1528e+01
1.9196e+02,-5.1839e+01,-6.0554e+01
1.9644e+02,-5.1973e+01,-5.9766e+01
2.0103e+02,-5.2199e+01,-5.9105e+01
2.0572e+02,-5.2383e+01,-5.8158e+01
2.1053e+02,-5.2628e+01,-5.6735e+01
2.1544e+02,-5.2839e+01,-5.6322e+01
2.2047e+02,-5.3072e+01,-5.5229e+01
2.2562e+02,-5.3252e+01,-5.4268e+01
2.3089e+02,-5.3438e+01,-5.3365e+01
2.3628e+02,-5.3646e+01,-5.2071e+01
2.4180e+02,-5.3859e+01,-5.1204e+01
2.4745e+02,-5.4027e+01,-5.0183e+01
2.5323e+02,-5.4260e+01,-4.8678e+01
2.5914e+02,-5.4445e+01,-4.7481e+01
2.6519e+02,-5.4624e+01,-4.6318e+01
2.7138e+02,-5.4822e+01,-4.5116e+01
2.7772e+02,-5.5065e+01,-4.3445e+01
2.8421e+02,-5.5241e+01,-4.2429e+01
2.9084e+02,-5.5378e+01,-4.0945e+01
2.9764e+02,-5.5558e+01,-3.9075e+01
3.0459e+02,-5.5763e+01,-3.7642e+01
3.1170e+02,-5.5908e+01,-3.6137e+01
3.1898e+02,-5.6065e+01,-3.4423e+01
3.2643e+02,-5.6293e+01,-3.3267e+01
3.3405e+02,-5.6396e+01,-3.1090e+01
3.4185e+02,-5.6505e+01,-2.9804e+01
3.4983e+02,-5.6603e+01,-2.7774e+01
3.5800e+02,-5.6732e+01,-2.5600e+01
3.6636e+02,-5.6884e+01,-2.4007e+01
3.7492e+02,-5.7019e+01,-2.2038e+01
3.8367e+02,-5.7080e+01,-2.0073e+01
3.9263e+02,-5.7165e+01,-1.7825e+01
4.0180e+02,-5.7167e+01,-1.5701e+01
4.1118e+02,-5.7352e+01,-1.3408e+01
4.2078e+02,-5.7343e+01,-1.1650e+01
4.3061e+02,-5.7307e+01,-9.2698e+00
4.4067e+02,-5.7468e+01,-7.9630e+00
4.5096e+02,-5.7385e+01,-5.5311e+00
4.6149e+02,-5.7317e+01,-4.2218e+00
4.7226e+02,-5.7344e+01,-1.4685e+00
4.8329e+02,-5.7329e+01,6.4567e-01
4.9458e+02,-5.7229e+01,2.6890e+00
5.0613e+02,-5.7242e+01,5.0942e+00
5.1795e+02,-5.7147e+01,7.0472e+00
5.3004e+02,-5.7078e+01,8.9396e+00
5.4242e+02,-5.6955e+01,1.0885e+01
5.5509e+02,-5.6840e+01,1.2575e+01
5.6805e+02,-5.6836e+01,1.4832e+01
5.8131e+02,-5.6621e+01,1.6662e+01
5.9489e+02,-5.6529e+01,1.8345e+01
6.0878e+02,-5.6347e+01,1.9378e+01
6.2300e+02,-5.6207e+01,2.1404e+01
6.3755e+02,-5.6016e+01,2.3187e+01
6.5243e+02,-5.5899e+01,2.4379e+01
6.6767e+02,-5.5718e+01,2.6061e+01
6.8326e+02,-5.5497e+01,2.7446e+01
6.9922e+02,-5.5336e+01,2.8733e+01
7.1554e+02,-5.5192e+01,3.0073e+01
7.3225e+02,-5.4995e+01,3.1300e+01
7.4935e+02,-5.4819e+01,3.2694e+01
7.6685e+02,-5.4599e+01,3.3387e+01
7.8476e+02,-5.4396e+01,3.4589e+01
8.0309e+02,-5.4209e+01,3.5322e+01
8.2184e+02,-5.3978e+01,3.6625e+01
8.4103e+02,-5.3832e+01,3.7925e+01
8.6067e+02,-5.3611e+01,3.8718e+01
8.8077e+02,-5.3414e+01,3.9346e+01
9.0134e+02,-5.3176e+01,4.0340e+01
9.2239e+02,-5.2982e+01,4.1063e+01
9.4392e+02,-5.2748e+01,4.1624e+01
9.6597e+02,-5.2579e+01,4.2492e+01
9.8852e+02,-5.2369e+01,4.3234e+01
1.0116e+03,-5.2165e+01,4.3945e+01
1.0352e+03,-5.1947e+01,4.4237e+01
1.0594e+03,-5.1777e+01,4.5110e+01
1.0841e+03,-5.1535e+01,4.5500e+01
1.1095e+03,-5.1315e+01,4.5921e+01
1.1354e+03,-5.1142e+01,4.6403e+01
1.1619e+03,-5.0923e+01,4.6800e+01
1.1890e+03,-5.0732e+01,4.7198e+01
1.2168e+03,-5.0525e+01,4.7414e+01
1.2452e+03,-5.0279e+01,4.7649e+01
1.2743e+03,-5.0105e+01,4.7880e+01
1.3040e+03,-4.9870e+01,4.8327e+01
1.3345e+03,-4.9685e+01,4.8474e+01
1.3656e+03,-4.9473e+01,4.8771e+01
1.3975e+03,-4.9291e+01,4.9033e+01
1.4302e+03,-4.9082e+01,4.9131e+01
1.4636e+03,-4.8885e+01,4.9142e+01
1.4977e+03,-4.8680e+01,4.9323e+01
1.5327e+03,-4.8466e+01,4.9287e+01
1.5685e+03,-4.8255e+01,4.9419e+01
1.6051e+03,-4.8072e+01,4.9407e+01
1.6426e+03,-4.7862e+01,4.9425e+01
1.6810e+03,-4.7643e+01,4.9348e+01
1.7202e+03,-4.7484e+01,4.9147e+01
1.7604e+03,-4.7250e+01,4.9344e+01
1.8015e+03,-4.7062e+01,4.9178e+01
1.8436e+03,-4.6866e+01,4.9197e+01
1.8866e+03,-4.6660e+01,4.8717e+01
1.9307e+03,-4.6475e+01,4.8678e+01
1.9758e+03,-4.6270e+01,4.8456e+01
2.0219e+03,-4.6087e+01,4.8146e+01
2.0691e+03,-4.5882e+01,4.7986e+01
2.1175e+03,-4.5712e+01,4.7738e+01
2.1669e+03,-4.5511e+01,4.7379e+01
2.2175e+03,-4.5328e+01,4.6986e+01
2.2693e+03,-4.5113e+01,4.6597e+01
2.3223e+03,-4.4944e+01,4.6289e+01
2.3765e+03,-4.4761e+01,4.5877e+01
2.4320e+03,-4.4568e+01,4.5483e+01
2.4888e+03,-4.4377e+01,4.5004e+01
2.5469e+03,-4.4188e+01,4.4587e+01
2.6064e+03,-4.3995e+01,4.4181e+01
2.6673e+03,-4.3823e+01,4.3475e+01
2.7295e+03,-4.3651e+01,4.2955e+01
2.7933e+03,-4.3464e+01,4.2429e+01
2.8585e+03,-4.3284e+01,4.1890e+01
2.9253e+03,-4.3101e+01,4.1165e+01
2.9936e+03,-4.2938e+01,4.0547e+01
3.0635e+03,-4.2757e+01,3.9833e+01
3.1350e+03,-4.2588e+01,3.9141e+01
3.2082e+03,-4.2418e+01,3.8406e+01
3.2832e+03,-4.2249e+01,3.7626e+01
3.3598e+03,-4.2080e+01,3.6890e+01
3.4383e+03,-4.1922e+01,3.6010e+01
3.5186e+03,-4.1753e+01,3.5227e+01
3.6007e+03,-4.1602e+01,3.4311e+01
3.6848e+03,-4.1441e+01,3.3401e+01
3.7709e+03,-4.1279e+01,3.2421e+01
3.8589e+03,-4.1133e+01,3.1505e+01
3.9490e+03,-4.0975e+01,3.0533e+01
4.0413e+03,-4.0833e+01,2.9573e+01
4.1356e+03,-4.0685e+01,2.8452e+01
4.2322e+03,-4.0546e+01,2.7397e+01
4.3310e+03,-4.0409e+01,2.6322e+01
4.4322e+03,-4.0273e+01,2.5171e+01
4.5357e+03,-4.0148e+01,2.4032e+01
4.6416e+03,-4.0021e+01,2.2812e+01
4.7500e+03,-3.9900e+01,2.1604e+01
4.8609e+03,-3.9774e+01,2.0337e+01
4.9744e+03,-3.9662e+01,1.9122e+01
5.0906e+03,-3.9553e+01,1.7772e+01
5.2095e+03,-3.9453e+01,1.6484e+01
5.3311e+03,-3.9346e+01,1.5148e+01
5.4556e+03,-3.9249e+01,1.3751e+01
5.5830e+03,-3.9161e+01,1.2315e+01
5.7134e+03,-3.9079e+01,1.0898e+01
5.8468e+03,-3.9001e+01,9.4580e+00
5.9833e+03,-3.8930e+01,8.0332e+00
6.1230e+03,-3.8860e+01,6.5101e+00
6.2660e+03,-3.8799e+01,5.0071e+00
6.4124e+03,-3.8743e+01,3.4578e+00
6.5621e+03,-3.8701e+01,1.8973e+00
6.7153e+03,-3.8656e+01,3.6226e-01
6.8722e+03,-3.8620e+01,-1.2105e+00
7.0326e+03,-3.8583e+01,-2.7998e+00
7.1969e+03,-3.8563e+01,-4.4000e+00
7.3649e+03,-3.8544e+01,-6.0154e+00
7.5369e+03,-3.8534e+01,-7.6385e+00
7.7129e+03,-3.8533e+01,-9.3155e+00
7.8930e+03,-3.8533e+01,-1.0912e+01
8.0773e+03,-3.8546e+01,-1.2519e+01
8.2660e+03,-3.8563e+01,-1.4183e+01
8.4590e+03,-3.8593e+01,-1.5825e+01
